,time,gazex,gazey,app
0,0,1470,891,None
1,2024-12-18 13:57:14.750593,0,0,QtApp.py
2,2024-12-18 13:57:14.844749,880,768,QtApp.py
3,2024-12-18 13:57:14.939251,880,768,QtApp.py
4,2024-12-18 13:57:15.033783,880,768,QtApp.py
5,2024-12-18 13:57:15.129243,880,768,QtApp.py
6,2024-12-18 13:57:15.223393,880,768,QtApp.py
7,2024-12-18 13:57:15.324087,880,768,QtApp.py
8,2024-12-18 13:57:15.424895,880,767,QtApp.py
9,2024-12-18 13:57:15.525452,879,767,QtApp.py
10,2024-12-18 13:57:15.623712,879,765,QtApp.py
11,2024-12-18 13:57:15.724065,878,763,QtApp.py
12,2024-12-18 13:57:15.823118,877,760,QtApp.py
13,2024-12-18 13:57:15.924343,875,756,QtApp.py
14,2024-12-18 13:57:16.026474,872,751,firefox
15,2024-12-18 13:57:16.125154,869,745,firefox
16,2024-12-18 13:57:16.224903,865,737,firefox
17,2024-12-18 13:57:16.324707,859,727,firefox
18,2024-12-18 13:57:16.424415,855,716,firefox
19,2024-12-18 13:57:16.524745,850,703,firefox
20,2024-12-18 13:57:16.625549,845,689,firefox
21,2024-12-18 13:57:16.725832,840,675,firefox
22,2024-12-18 13:57:16.825088,833,659,firefox
23,2024-12-18 13:57:16.923308,825,641,firefox
24,2024-12-18 13:57:17.023632,818,622,firefox
25,2024-12-18 13:57:17.125782,804,599,firefox
26,2024-12-18 13:57:17.224460,787,573,firefox
27,2024-12-18 13:57:17.325873,766,547,firefox
28,2024-12-18 13:57:17.424535,744,520,firefox
29,2024-12-18 13:57:17.523474,727,490,firefox
30,2024-12-18 13:57:17.624005,717,468,firefox
31,2024-12-18 13:57:17.724406,713,447,firefox
32,2024-12-18 13:57:17.827348,708,420,firefox
33,2024-12-18 13:57:17.923928,706,399,firefox
34,2024-12-18 13:57:18.024712,706,385,firefox
35,2024-12-18 13:57:18.124279,707,375,firefox
36,2024-12-18 13:57:18.223777,710,366,firefox
37,2024-12-18 13:57:18.327333,717,362,firefox
38,2024-12-18 13:57:18.423640,725,353,firefox
39,2024-12-18 13:57:18.524950,718,348,firefox
40,2024-12-18 13:57:18.622695,708,346,firefox
41,2024-12-18 13:57:18.723939,700,347,firefox
42,2024-12-18 13:57:18.825179,691,350,firefox
43,2024-12-18 13:57:18.924650,680,351,firefox
44,2024-12-18 13:57:19.024336,671,354,firefox
45,2024-12-18 13:57:19.123928,655,358,firefox
46,2024-12-18 13:57:19.225897,641,366,firefox
47,2024-12-18 13:57:19.324217,633,373,firefox
48,2024-12-18 13:57:19.423856,632,382,firefox
49,2024-12-18 13:57:19.523969,644,396,firefox
50,2024-12-18 13:57:19.624201,660,406,firefox
51,2024-12-18 13:57:19.724139,680,411,firefox
